Row Labels,Count of pueblo
West,1463
Aguadilla,382
Anasco,45
Cabo Rojo,345
Mayaguez,579
Rincon,112
Central ,403
Aguas Buenas,131
Barranquitas,27
Cayey,12
Ciales,8
Cidra,112
Jayuya,42
Utuado,71
North,2967
Bayamon,670
Corozal,92
Dorado,495
Guaynabo,611
Hatillo,35
Isabela,475
Morovis,93
Quebradillas,64
San Juan,66
Toa alta,62
Toa Baja,50
Vega Baja,254
East,2095
Caguas,64
Canovanas,49
Ceiba,22
Fajardo,267
Carolina,168
Humacao,267
Loiza,69
Rio Grande,780
San Lorenzo,75
Trujillo Alto,334
South,478
Ponce,320
Salinas,158
Grand Total,7406
